terrain_type,band,polarization,statistic,a_0,a_5,a_10,a_15,a_20,a_25,a_30,a_35,a_40,a_45,a_50,a_55,a_60,a_65,a_70,a_75,a_80
d,Ka,hv,snmin,-18.0,-16.5,-23.5,-24.0,-25.5,NULL,-27.5,NULL,-28.5,NULL,-30.0,NULL,-25.5,NULL,-30.0,NULL,-32.0
d,Ka,hv,snmax,2.5,-4.0,-6.5,-8.5,-9.5,NULL,-12.5,NULL,-13.0,NULL,-13.5,NULL,-17.0,NULL,-22.0,NULL,-26.5
d,Ka,hh,N,8.0,8.0,26.0,8.0,26.0,NULL,26.0,NULL,26.0,NULL,26.0,NULL,25.0,NULL,24.0,NULL,13.0
d,Ka,hh,snmin,-4.5,-4.5,-10.5,-11.5,-14.0,NULL,-17.0,NULL,-21.0,NULL,-25.5,NULL,-29.0,NULL,-33.5,NULL,-39.5
d,Ka,hh,snmax,24.0,6.0,1.5,-2.5,-3.0,NULL,-5.0,NULL,-6.0,NULL,-7.5,NULL,-10.0,NULL,-15.0,NULL,-20.5
d,L,vv,N,NULL,NULL,NULL,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,NULL
d,L,vv,snmin,NULL,NULL,NULL,NULL,-23.0,NULL,-25.5,NULL,-27.0,NULL,-29.5,NULL,-32.5,NULL,-35.5,NULL,NULL
d,L,vv,snmax,NULL,NULL,NULL,NULL,-23.0,NULL,-25.5,NULL,-27.0,NULL,-29.5,NULL,-32.5,NULL,-35.5,NULL,NULL
d,L,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,L,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,L,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,L,hh,N,NULL,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,NULL
d,L,hh,snmin,NULL,NULL,-17.0,NULL,-22.0,NULL,-28.5,NULL,-30.5,NULL,-31.5,NULL,-35.0,NULL,-39.5,NULL,NULL
d,L,hh,snmax,NULL,NULL,-17.0,NULL,-22.0,NULL,-28.5,NULL,-30.5,NULL,-31.5,NULL,-35.0,NULL,-39.5,NULL,NULL
d,W,vv,N,1.0,1.0,1.0,1.0,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,1.0,NULL,NULL
d,W,vv,snmin,4.5,3.5,0.0,0.0,-1.5,NULL,0.0,NULL,-1.5,NULL,-1.5,NULL,-3.5,NULL,-5.0,NULL,NULL
d,W,vv,snmax,4.5,3.5,0.0,0.0,-1.5,NULL,0.0,NULL,-1.5,NULL,-1.5,NULL,-3.5,NULL,-5.0,NULL,NULL
d,W,hv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,W,hv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,W,hv,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,W,hh,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,W,hh,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,W,hh,snmax,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,Ku,vv,N,8.0,8.0,18.0,8.0,18.0,NULL,18.0,NULL,18.0,NULL,18.0,NULL,16.0,NULL,16.0,NULL,12.0
d,Ku,vv,snmin,4.5,-5.5,-15.5,-16.5,-17.0,NULL,-20.5,NULL,-22.5,NULL,-24.5,NULL,-16.5,NULL,-21.5,NULL,-25.0
d,Ku,vv,snmax,34.5,8.0,3.5,2.0,0.5,NULL,-0.5,NULL,-3.0,NULL,-2.0,NULL,-1.5,NULL,0.0,NULL,1.5
d,Ku,hv,N,1.0,4.0,8.0,8.0,7.0,NULL,8.0,NULL,8.0,NULL,8.0,NULL,6.0,NULL,6.0,NULL,3.0
d,Ku,hv,snmin,-8.0,-13.0,-23.0,-25.0,-25.5,NULL,-31.0,NULL,-31.5,NULL,-33.0,NULL,-24.5,NULL,-29.0,NULL,-35.5
d,Ku,hv,snmax,-8.0,-6.5,-7.5,-10.5,-10.0,NULL,-11.5,NULL,-13.5,NULL,-13.0,NULL,-18.0,NULL,-21.5,NULL,-27.5
d,Ku,hh,N,8.0,8.0,18.0,8.0,18.0,NULL,18.0,NULL,18.0,NULL,18.0,NULL,16.0,NULL,16.0,NULL,12.0
d,Ku,hh,snmin,3.0,-8.0,-13.0,-14.5,-16.0,NULL,-22.0,NULL,-24.5,NULL,-27.0,NULL,-18.0,NULL,-24.0,NULL,-32.5
d,Ku,hh,snmax,34.0,9.0,3.5,1.0,1.5,NULL,-1.0,NULL,-3.0,NULL,-2.0,NULL,-0.5,NULL,0.0,NULL,2.5
d,S,vv,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
d,S,vv,snmin,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
