terrain_type,band,polarization,thetamin,thetamax,p1,p2,p3,p4,p5,p6,m1,m2,m3
c,X,hh,0.0,80.0,-99.0,97.417,0.114,-0.837,5.0,-2.984,2.49,3.514,3.217
c,X,vv,0.0,80.0,-99.0,97.37,0.119,-1.171,5.0,-2.728,2.946,2.834,2.953
c,X,hv,10.0,70.0,-16.716,10.247,10.0,-1.045,5.0,-0.159,-9.0,13.278,0.066
c,Ka,hh,10.0,80.0,-99.0,79.05,0.263,-30.0,0.73,2.059,2.8,3.139,15.0
c,Ka,vv,10.0,80.0,-99.0,80.325,0.282,-30.0,0.833,1.97,2.686,-0.002,-2.853
c,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c,S,hh,0.0,80.0,-20.779,21.867,2.434,0.347,-0.013,-0.393,2.527,3.273,3.001
c,S,vv,0.0,80.0,-20.367,21.499,2.151,-1.069,5.0,-1.95,2.963,2.881,4.74
c,S,hv,0.0,80.0,-99.0,85.852,0.179,3.687,2.121,-3.142,13.195,-9.0,-0.148
c3a,C,hh,0.0,80.0,-90.876,99.0,0.276,7.158,1.813,-3.142,1.956,2.861,2.301
c3a,C,vv,0.0,80.0,-90.091,99.0,0.298,8.302,2.024,-3.142,1.435,3.416,1.766
c3a,C,hv,0.0,80.0,-99.0,90.711,0.149,3.229,2.115,-3.142,13.293,-9.0,-0.193
c3a,L,hh,0.0,80.0,-29.397,32.056,1.348,0.81,4.872,-3.142,-9.0,14.591,0.11
c3a,L,vv,0.0,80.0,-82.717,99.0,0.485,14.951,-1.811,3.142,0.504,3.89,0.559
c3a,L,hv,0.0,80.0,-99.0,99.0,0.086,-19.586,0.0,0.0,4.371,-0.126,-2.07
c3a,Ku,hh,0.0,80.0,-98.657,99.0,0.104,-0.96,5.759,-3.142,1.824,4.288,2.387
c3a,Ku,vv,0.0,80.0,-98.127,99.0,0.111,-0.802,5.774,-3.142,2.162,3.7,2.994
c3a,Ku,hv,40.0,70.0,-40.82,0.0,0.0,30.0,0.857,-0.557,-9.0,11.794,0.04
c3a,X,hh,0.0,80.0,-99.0,98.553,0.117,-0.992,5.309,-3.142,1.669,4.696,2.308
c3a,X,vv,0.0,80.0,-99.0,98.634,0.12,-0.981,6.049,-3.142,1.788,4.529,2.533
c3a,X,hv,20.0,70.0,-99.0,52.764,-0.386,25.044,1.551,-0.224,2.696,0.0,0.0
c3a,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
c3a,S,hh,0.0,80.0,-23.453,22.959,1.51,-0.87,-4.886,-3.142,1.553,2.995,1.391
c3a,S,vv,0.0,80.0,-18.801,17.754,1.817,-1.412,6.679,-3.142,2.522,2.067,4.399
c3a,S,hv,0.0,80.0,-99.0,60.067,-0.114,30.0,0.546,0.792,0.535,3.31,0.748
a1,C,hh,0.0,40.0,-64.477,99.0,0.354,-30.0,0.0,0.0,-9.0,13.362,-0.094
a1,C,vv,0.0,40.0,-30.458,65.739,0.553,-30.0,0.0,0.0,4.364,1.311,15.0
a1,C,hv,0.0,40.0,-78.372,99.0,0.314,-30.0,0.0,0.0,7.498,-2.787,2.654
a1,L,hh,0.0,30.0,-11.831,0.417,-6.332,8.696,-5.0,0.18,-9.0,10.932,-0.349
a1,L,vv,0.0,30.0,-35.246,3.122,-4.532,-30.0,3.284,-3.132,-9.0,11.248,-0.335
a1,L,hv,0.0,30.0,-88.448,99.0,0.082,-30.0,0.0,0.0,3.561,-0.686,15.0
a1,Ku,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ku,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,X,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,Ka,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hh,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,vv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
a1,W,hv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
